URL,Time,Tweet Content
https://twitter.com/ujiiiiiiii2/status/1554324492192649218,2022-08-02 13:33:31.548000,“@JEONGHYO111201 お求めございますか？♡”
https://twitter.com/ujiiiiiiii2/status/1554355362102272000,2022-08-02 15:36:11.508000,“@JEONGHYO111201 こちらこそ！ありがとうございます！こちらのツウィちゃんと交換可能でしょうか？😢”
https://twitter.com/ujiiiiiiii2/status/1554474400682246145,2022-08-02 23:29:12.517000,"“@minari32437 こちらお求めありますか？😭✨
当方青く囲んだもの求めております…💦”"
https://twitter.com/ujiiiiiiii2/status/1554647556138758149,2022-08-03 10:57:15.995000,“@twice3a_n 可能です！”
https://twitter.com/ujiiiiiiii2/status/1554714656937127937,2022-08-03 15:23:54.072000,"“譲 画像
求 ナヨン(なんでも検討)
複数交換優先します😢
ご了承ください！

#twice交換
#ラントレ交換”"
https://twitter.com/ujiiiiiiii2/status/1554747942115819520,2022-08-03 17:36:09.877000,“@99___tzuyu すみません😭求め、ありませんでした。。”
https://twitter.com/ujiiiiiiii2/status/1554855549723762690,2022-08-04 00:43:45.530000,"“再掲🐰

twice 交換”"
https://twitter.com/ujiiiiiiii2/status/1555037096749834240,2022-08-04 12:45:09.714000,“@___tz14y こちら求めてます！”
https://twitter.com/ujiiiiiiii2/status/1555040042405355520,2022-08-04 12:56:52.013000,"“@mitamita_0324 @TOS こちら所持しております！
お求めございますか…？”"
https://twitter.com/ujiiiiiiii2/status/1555040598469386240,2022-08-04 12:59:04.589000,“@twiceMDT 求めありませんでした😢お声がけいただきありがとうございます😢”
https://twitter.com/ujiiiiiiii2/status/1555056785144180736,2022-08-04 14:03:23.793000,"“@___tz14y かしこまりました💦
当方もオールは緩求なため1:1の交換に変更していただくことは可能ですか？😢難しい場合は無理せずで！😭二転三転とすみません…。。”"
https://twitter.com/ujiiiiiiii2/status/1555100611720278016,2022-08-04 16:57:32.863000,“@mitamita_0324 @TOS かしこまりました💦😢”
https://twitter.com/ujiiiiiiii2/status/1555114645853065216,2022-08-04 17:53:18.861000,“@torihikiii127 お求めございますか？♡”
https://twitter.com/ujiiiiiiii2/status/1555123844712517632,2022-08-04 18:29:52.040000,“@torihikiii127 こちらの　💞　求めてます！”
https://twitter.com/ujiiiiiiii2/status/1555146100155092992,2022-08-04 19:58:18.151000,“@torihikiii127 可能です！”
https://twitter.com/ujiiiiiiii2/status/1555562095600578560,2022-08-05 23:31:19.194000,"“@eoii80 お返事ありがとうございますっ！
こちらのツウィちゃん求めてます😢”"
https://twitter.com/ujiiiiiiii2/status/1555825432569602048,2022-08-06 16:57:43.620000,“@rt7373 ミナちゃんとオールの交換可能でしょうか…？”
https://twitter.com/ujiiiiiiii2/status/1555827445411942402,2022-08-06 17:05:43.519000,"“@Ayu50626170 お求めございますか？
当方ミナちゃん・サナちゃんを求めております！”"
https://twitter.com/ujiiiiiiii2/status/1555854436982853637,2022-08-06 18:52:58.811000,"“@Ayu50626170 💦ひとつ前のリプライに誤りがあったので削除しました💦
こちら求めております！”"
https://twitter.com/ujiiiiiiii2/status/1555854984524099584,2022-08-06 18:55:09.355000,“@rt7373 はい！そうです！”
https://twitter.com/ujiiiiiiii2/status/1555857308403437568,2022-08-06 19:04:23.411000,“@rt7373 はい！お好きなもの1点(ミナちゃん)とオールの交換でお願いしたいです！”
https://twitter.com/ujiiiiiiii2/status/1555862656883388417,2022-08-06 19:25:38.588000,"“@rt7373 かしこまりました！
DM伺ってもよろしいでしょうか？”"
https://twitter.com/ujiiiiiiii2/status/1556971323020128257,2022-08-09 20:51:05.193000,“@pupupuri_n4 こちらのジヒョちゃんお求めないでしょうか…？”
https://twitter.com/ujiiiiiiii2/status/1556972522762952704,2022-08-09 20:55:51.234000,“@5K3bfFpGEeirKxX お求めございますか…？”
https://twitter.com/ujiiiiiiii2/status/1556972569458184192,2022-08-09 20:56:02.367000,“@pupupuri_n4 求めておりますー！”
https://twitter.com/ujiiiiiiii2/status/1556975049428459521,2022-08-09 21:05:53.638000,“@Na922_r お声がけいただきありがとうございます😭✨ 💖をつけたモモちゃん求めております！”
https://twitter.com/ujiiiiiiii2/status/1556975867946889216,2022-08-09 21:09:08.788000,“@pupupuri_n4 ナヨン・サナ・モモ・ミナって感じです！”
https://twitter.com/ujiiiiiiii2/status/1556976419728633857,2022-08-09 21:11:20.343000,“@TWICE04073538 申し訳ありません😢求めありませんでした😭せっかくお声掛けいただいたのにすみません。。”
https://twitter.com/ujiiiiiiii2/status/1556976590717825024,2022-08-09 21:12:01.110000,"“@pupupuri_n4 ありがとうございます！
DMが解放されていないようでして💦
可能であればこちらに来ていただけますでしょうか？😢”"
https://twitter.com/ujiiiiiiii2/status/1557058235567263744,2022-08-10 02:36:26.759000,“@_HTwiceonce 複数では無いのですが…こちらのチェヨンちゃん所持ております…！ご検討よろしくお願いします…！”
https://twitter.com/ujiiiiiiii2/status/1557177148309635074,2022-08-10 10:28:57.766000,“@Nd81OBlOoK4tYmS オールと#4のミナちゃん求めております！”
https://twitter.com/ujiiiiiiii2/status/1557205771393253376,2022-08-10 12:22:42.041000,"“@Nd81OBlOoK4tYmS 可能です！
主さまはどちらをお求めでしょうか…？”"
https://twitter.com/ujiiiiiiii2/status/1557209379111198720,2022-08-10 12:37:02.188000,"“@Nd81OBlOoK4tYmS かしこまりました！
発送日は主さまに合わせますのでご安心を！DM伺います！”"
https://twitter.com/ujiiiiiiii2/status/1560642613744521217,2022-08-19 23:59:29.111000,“@A9XNlDjopLuE04a お求めございますか…？”
https://twitter.com/ujiiiiiiii2/status/1560642944603807746,2022-08-20 00:00:47.994000,“@JnZ0bYVDsQ5MSNN doughnutチェヨンちゃんお求めございますか…？”
https://twitter.com/ujiiiiiiii2/status/1560647642538917888,2022-08-20 00:19:28.069000,“@koto20070706 お求めございますか…？”
https://twitter.com/ujiiiiiiii2/status/1560814726686265344,2022-08-20 11:23:24.034000,"“@A9XNlDjopLuE04a お返事遅くなり申し訳ありません！
こちら求めております！
1:1の交換可能でしょうか…？”"
https://twitter.com/ujiiiiiiii2/status/1560818037401350145,2022-08-20 11:36:33.370000,“@A9XNlDjopLuE04a こちら求めてます😢♡”
https://twitter.com/ujiiiiiiii2/status/1560827732195287041,2022-08-20 12:15:04.789000,"“@A9XNlDjopLuE04a もちろんです😭💖
ありがとうございます♪”"
https://twitter.com/ujiiiiiiii2/status/1561237981402304512,2022-08-21 15:25:15.822000,“@_HTwiceonce こちら所持しております！”
